Tipo;Variable;Menos de 1 hora;Entre 1 y 3 horas;3 horas o más;Total;Menos de 1 hora;Entre 1 y 3 horas;3 horas o más
Dentro del hogar;TOTAL;235225;246888;156162;638274;0.36853294979898915;0.38680566653192827;0.24466295039434474
Dentro del hogar;Hombres;119049;101316;54314;274679;0.43341136381012019;0.36885236949311739;0.19773626669676239
Dentro del hogar;Mujeres;116176;145572;101848;363596;0.31951946666079933;0.40036744078592723;0.28011309255327344
Dentro del hogar;16-29 años;35815;16281;8233;60329;0.59366142319614112;0.26987021167266156;0.13646836513119726
Dentro del hogar;30-39;27276;22752;16645;66673;0.40910113539213777;0.34124758147975942;0.24965128312810284
Dentro del hogar;40-49;42588;40597;27759;110945;0.3838658794898373;0.36592005047546083;0.25020505655955655
Dentro del hogar;50-59;65351;82940;44641;192932;0.3387255613376734;0.429892397321336;0.23138204134099061
Dentro del hogar;60-69;39253;47816;34768;121837;0.32217635036975634;0.39245877689043557;0.2853648727398081
Dentro del hogar;70+;24941;36502;24115;85558;0.29150985296523996;0.42663456368779074;0.28185558334696931
Fuera del hogar;TOTAL;348811;376873;194302;919986;0.37914816095027531;0.40965079903389834;0.21120104001582632
Fuera del hogar;Hombres;159411;143807;59490;362708;0.43950229937029234;0.39648146718572513;0.1640162334439825
Fuera del hogar;Mujeres;189400;233066;134812;557278;0.33986627858986002;0.41822214406454228;0.24191157734559771
Fuera del hogar;16-29 años;31160;15177;6866;53203;0.58568125857564424;0.28526586846606394;0.12905287295829182
Fuera del hogar;30-39;29575;21432;13193;64200;0.46066978193146418;0.33383177570093459;0.20549844236760126
Fuera del hogar;40-49;80939;79999;33903;194841;0.41541051421415409;0.41058606761410588;0.17400341817174003
Fuera del hogar;50-59;137858;166498;78130;382486;0.36042626396783151;0.43530482161438588;0.20426891441778261
Fuera del hogar;60-69;58430;77808;52517;188755;0.30955471378241634;0.41221689491669095;0.27822839130089272
Fuera del hogar;70+;10849;15959;9693;36501;0.2972247335689433;0.43722089805758746;0.26555436837346924
